AADT_wi,originalFeatureId,shstReferenceId
8200,40,668fd0b697684b76ffd89c0efa9bb9d7
830,41,2b95cee6920c5dfb316692fbef6411f5
1400,42,f08fff60f2f757bccce131e8f87f96f1
4900,43,f46006e30617264a285757a0a6ea423c
3100,44,6dec4936d0683b7c395c8a7dffece1f5
710,45,86aa950daa923e6a3d8ae0ce90703b65
910,46,edbbb38f20fd4a1bb5ad845a65467777
4800,47,2d64c7f7938b3e55d03f74a9f3387209
1100,48,7430a9afd0c5b715757a4dfe2e12bfda
660,49,81291f3ca65a957551df1796150540e2
510,50,2217ea44e9ef7c23116e623d8a25d7f2
560,51,6dbbbe407f45dd9b35bb201127fffe03
930,52,e03fbe9278cc49018f69898430f3086e
8200,53,5749c0caa83d4fb1ca1df97c4118e996
1200,54,9cdf92509f2ed92d37b41b4249a8bdb7
1900,55,e373a71b19053ea405c198848ed4e9bf
9700,56,9fbec6ec88ba234f62375889d89314c3
680,57,7130b37f15b7fe9a522a82e953c6e671
3400,58,0173ef2b942515cf4bdeaec8406c1918
3900,59,d6ef6de2a0e570a3d36ff48766e94f57
3000,60,7962bfb59c2db5dd52ecdfd92635c6f2
1600,61,bfab487caf14c52ff4b3f08749892ce6
7500,62,17fc4126c1a1f3a915ee7558758cdaff
15200,63,69ce177f59189f58972bb3124898cfaf
430,64,d9a5cc08013b214b00f92710143ed91d
3000,65,97348bb3aff734173307a6f5e104a504
1700,66,ad4ea823b7cbf36765b1de34b1c6a99b
3000,67,21f1b57a68d9d00f739283271e799e49
2400,68,5c94b3c1db726c456e246788c3c9e275
110,69,4d6bb784da49eb668df3876906fb1b2f
2600,70,f07ee9a28cfb597445b7031428395cb4
80,71,b089b4d30af91d6ead113203cf361c52
4200,72,1686ef7013ca48bf080fd253211ac074
830,73,1323b33e40a22ce68244b7c7379a214c
2100,74,c0bc6004eacb1e30fc29f0a83eb8f0f3
1700,75,37fbb123bad4e9c26b1342479a92e7b4
0,76,c151f90e2f1b19b8f0cf24d03e6fd211
680,77,9468987330ae1468c6aa6a279769008b
2400,78,3958251faf98ad4440f6346a55180a60
14200,79,0fc485ebc971a0899826605d419c2c96
640,80,11a7fc2c7b42cb6a4edc1714bbfd4661
780,81,3e3278923a41b85e56053d977196e32e
3200,82,37e8adfc2a74a5cdeb566cc0fa529ff5
2900,83,c2f117179be76e784a974776c0a9bf39
2800,84,7b6c973c42db808c527bc42566b6f895
2700,85,be90513342bc00e6fa284ef8263849b7
2300,86,40e7e13c49e29f7194af6d043f10d169
1700,87,51b8f1f867dd0619e2b3c6025eeb7aca
1200,88,0353b0d3b9ce452cacce61fd47bbf186
1300,89,25373a6fcbab28f285f50f2673689ec5
410,90,3f1f9cd9264fe2bfa45a22ef8ed81211
580,91,801956dcdc827712567c0dbffd1481aa
1300,92,40c219899cc0b72f3ed12c3c0d04f666
14000,93,0a6a78e28b4d9e5889860a26564567c2
3100,94,53c06d47fb63836c4ad46ab2525748bf
1500,95,a2fa0e0d36b9759ab57a6395d12d3261
570,96,c590a3f20a19ba0f453e28230d5cef07
2300,97,b2a8f0d756a487225518ef464544309c
1400,98,157a0fe5dbc55536373d2475d134ce69
1600,99,b2622d87a4abecb725954f262c719f11
4800,100,78ce8a54ed0005f407cde05a4fd4355a
4000,101,328e45c75a02044766dddf4150a0ec99
4900,102,90eb50145876c3cda0991e22dced404d
1700,103,ef73f252468e276fcdfde3739c66ce4e
2000,104,91e8859327993f0088ddc284272eac6d
