shstReferenceId,PEMSID,ft,lanes
1f1cdc6561cbdb8b91b627fd42b30c20,"[408465, 410769]",Freeway,0
1f66329e56ec5db37a71a8ecda8f3e9c,"[408161, 414041]",Freeway,5
1fc9a9484a076186c69aab073830b43c,"[409681, 409682]",Freeway,3
20010ec3b5f625f7c6ae444eb7874f83,"[400739, 402953, 402954]",Freeway,4
204a12a93cbada9b94ac84d748d04cda,"[400948, 403115]",Freeway,4
2060be40c87214af8efe3be5aa31fbe2,[401789],Freeway,5
20e6ff98646f6f090054612b293b0506,[409232],Freeway,4
21004bb88e7c58e7cbe895400b1e9f0e,"[403142, 403144, 403143]",Freeway,0
2102b187eea98e6608ffb03f764588da,"[409733, 409734]",Freeway,3
21063260b03bb4e53e1a54e15147f5fa,[400816],Freeway,5
2120e376fa371d6ea5c92fa111772690,[409729],Freeway,0
214b3f271ad07c216436eb88104720ee,"[402789, 407219]",Freeway,4
215dfb81a0b912111e339e1f978baa79,[400314],Freeway,2
218ff7bd29a845b4867bed60ab98cac4,"[400292, 404637]",Freeway,4
21c1a8d8cff05b2b8a7585fbddbab186,[404668],Freeway,4
22172296d3bf231492adc2c4eaf8cd16,[402242],Freeway,3
22230e188aede8f5db4929daf1dadc8c,[402142],Freeway,6
2244e59508c6cd268fc585767b5546fd,"[407475, 407482, 407483, 407484]",Freeway,4
22520e4b864de2278bbc9a3460daa3dc,[404254],Freeway,4
227b0d568b4d7897f92ac50da44b21f4,[402000],Freeway,4
23115b131b370bdf2783ff8939b2e76f,"[413635, 413636]",Freeway,5
232ffce9c871f1af20648c3179c88edd,[402572],Freeway,4
2341c92999f853512281ab9f5de8cc9b,[401343],Freeway,3
236c56ae7b8d6c01465d0cd6f4da517d,"[401381, 400103]",Freeway,4
23ba7a1c93654bd8abb6a85d8674bb5c,[402528],Freeway,3
23fdfd7bf3518e25698ef1630ac02f31,"[403330, 403331, 403332]",Freeway,4
241f019ec9ffed33c41e3284032ef5b5,[404444],Freeway,3
24a9f3e72c803db44e60edd935410e08,[404605],Freeway,3
24d828a5a48fe7bc0802bc61d873775f,"[402539, 403053]",Freeway,5
2508a02970593bbeaa9fbfd4b412fdcb,"[406713, 406714]",Freeway,4
25c7faf230acac5b95be6c406be9f4bb,"[404435, 407344, 407345]",Freeway,3
25c8cb41ebf2681b51ad7043d237529e,"[407152, 407160, 409063]",Freeway,4
263c7d6329cc57114ba8e8945a85a2a6,[400319],Freeway,4
266694ee2ab93093139026ef2d85ce48,"[403019, 403022, 403023]",Freeway,0
26c62fe0fd7c877058259f518d018dd5,"[401289, 414251]",Freeway,3
26cdf97d8c9d40f22fe9348887dd47a2,"[400661, 409676, 409888, 410511]",Freeway,4
26d12173e506be1d422f1e72f8c169de,[408604],Freeway,5
274e4fee4d8c213db83655723183e02e,"[407348, 407349]",Freeway,3
27593541d10b1bcfcd7048c063ca6866,"[400465, 400538]",Freeway,4
