shstReferenceId,A_node,B_node,lanes_am,lanes_md,lanes_pm,name,min_lanes,max_lanes,osm_sfcta_names_dist
01e85abf2fb0343b89d01fefc3ed917d,20185,20189,1,1,1,HUDSON,1,1,0
01eaa6f0be3d9b1f0670e1ab2d2510b2,25013,25014,1,1,1,POWELL,1,1,0
01ede7f2ad0eb9e0a060dc45412774bd,20758,20755,2,2,2,INDUSTRIAL,2,2,0
01f147c54ce908b6cd47a121b0049750,20647,20646,1,1,1,THORNTON,1,1,0
01f3a1f02d105f0bb073c5dd6d5bed86,26718,26719,1,1,1,OCTAVIA,1,1,0
01f44a36512f0f8fd0c6381defc1879b,21972,22267,2,2,2,BOSWORTH,2,2,0
01f49f698540ed15dc9146a0c3c7e73f,22921,22875,1,1,1,CLAREMONT,1,1,0
01f5dde75ad3a82ec96f6210bf24464d,23211,23208,1,1,1,21ST,1,1,0
02035808bf3180923e380e91177d4fca,23789,23842,1,1,1,HUBBELL,1,1,0
0207808564f86c7e2de8099f482e6ff0,51586,51584,1,1,1,FRENCH,1,1,100
020c92da761a389ceba4bda4fe8815ac,23173,23174,1,1,1,22ND,1,1,6
0213f0cd9d3ad068cb280db17a887043,26878,26879,1,1,1,BRODERICK,1,1,0
0214053182bb19583fcc61a282b771f0,23384,23383,3,3,3,SUNSET,3,3,0
021636868653b4955d53503033010b77,26165,26170,1,1,1,HATTIE,1,1,0
0219bf4d9b4f96e2dc9ad6d98617f330,27383,27393,1,1,1,ORTEGA,1,1,0
021a45b3db83541c2cb38a2ca463b209,20395,51995,1,1,1,RAYMOND,1,1,100
021a9d7c0888e834d208115cf4f64a35,27651,27646,1,1,1,22ND,1,1,100
0223b920c68392aa5d9eb7b0a5947856,33272,33273,1,1,1,SAN BRUNO,1,1,0
022548153645cc61421290b5d8a58c75,22828,22846,1,1,1,MIRALOMA,1,1,0
02265c996094a7043693c44614ab3425,25591,25592,1,1,1,TAYLOR,1,1,0
0226fa84b2b9a7f9bf4533d5b24b66e6,27459,27466,1,1,1,MIDDLE     WEST,1,1,4
02287b359db40e9b485658d4ec0631aa,24639,50027,1,1,1,STEVENSON,1,1,100
0231d234911f027cf5841afd8327d9ed,27488,50533,1,1,1,TACOMA,1,1,100
0234d37cc16c86c645699c31c46c62dc,52963,52962,1,1,1,12TH,1,1,100
0235a534ab4a5aa53a2ab7022ea8c6ff,33245,50866,1,1,1,NA,1,1,100
02373d5ede596a5f1c7dd1e4eb232426,21803,22109,1,1,1,SANTA YSABEL,1,1,0
0239ba4073250ab8d632a465e3bafed7,20726,20727,1,1,1,TOLAND,1,1,0
02468c213c35c202ffc78fb348f9fcad,26770,26769,1,1,1,STEINER,1,1,0
024b333d6b0088ca46fa1547e9190f99,22606,22615,1,1,1,ASHTON,1,1,0
024fd76caaff53d17c1a60ab130eec1e,20159,20158,1,1,1,KEITH,1,1,0
