AADT_mn,originalFeatureId,shstReferenceId
5400,68,2056cebb075e7f3cf0f891563a64b375
1400,69,18bacbd5f8c81ef6b3c1bb04079f6e9b
3550,70,31481fe2119f6cf029a8fb3c6f7034a4
11100,71,ae60be0df4d4ef479ee62aedff216209
2200,72,213cfec4fc85624df80b2ba2132328c6
740,73,7a33e513a34196ca900a07b46e395515
1600,74,2671ed239d6dd19b40d394d194c12ac4
2500,75,daa36e09a14262a84ba99373c06871f7
13700,76,785d7dc8f2e422a88686e0978366329a
13800,77,918591488233d556cde39d1354e61758
620,78,0e59d9430f8fdf2dc18a2749a693983c
3800,79,daa36e09a14262a84ba99373c06871f7
1450,80,7666252a4e47eae4d4dd930c366ec041
2250,81,ab6c695cc54e09a269b4079910a7dbc5
1900,82,ad47bc477d5ce1c5b98954315a4961fb
540,83,0a8af2721f3a118b4db0d1798a64cb88
1650,84,4cde121fe498b8484e9e51ca9c4ab07e
2100,85,66532f9280c0052cc35fdde250ccb3d9
1850,86,6989f83ad586389c31b7791e5005c9d2
23500,87,3a40ac4c9cfbad97ed1070886ab5271f
3750,88,ba6eb9ff49f680fd5e60a4bbb1c13706
35,89,6505a90f0dca253c31287bd1a7103be1
570,90,65a21f011d6af9d192118969a5601ec4
1700,91,26d66d5c8646878fa18cf62045702957
1450,92,5797f0fde78623778939719d1a62f635
1350,93,cee8394a159d582fd9ea15b21d2e857b
210,94,f944a557ee0a047ca30c894ef91102ce
2050,95,52748293e1b7eb1d005eaadf6a27aa49
680,96,f555fca686199ea7d03c72db5443e81e
1150,97,8e9c068472a71fe13960534a9274c378
1800,98,f5696d945c483950b9eb984e5da30bd3
2050,99,f1fc95bee5b793d453994ac75dc91949
640,100,e4a9f1b2bc5f1f7d291f6ba175468c57
930,101,9b8ddc844b2889069a7f7177db9f889b
2100,102,03edf6b01ff439663e77cce4ca28fb51
335,103,94285be7426685d3476d55730d0fedd0
2950,106,193eab87aa416c07a3d2692243dc4893
510,107,2485c7009ff14d0cfe2167b94ffed269
2000,108,ca5ad93ab4ba7f9319bccc4fa5cc7420
8500,109,e17c196ef1829de3a727501cdc67718e
2400,110,253e37c184f5285dabf5e02ab9c6c41d
1550,111,1535bfce67f20095b9eeacc5d61fd963
660,112,5bfee155205a7a0115cda243d4f3d8b2
620,113,e92d3ab47682d42046efffc2dcebdb62
5,114,7ea06ce8b3ec6c87e05f95402fac03b6
920,115,45724197073e9fb33e9da8939ee2a1d3
540,116,852dda3cf0655159d7f08b0a90868deb
1400,117,dfa19499baff57f59477a453513e8a73
165,118,fef4879dbb757c4f4e8ab4c1c7ea5c55
1750,119,cff5046230a0a70368bc0946053ae5e4
140,120,0b434eec600ae99efca5627b11df5a7a
1050,121,467ba103bbd3323f70db512a6b012bca
2950,122,bd7db2448300416a804bafa34dbb8616
7700,123,49849911f48be661534478ac56408a98
1400,124,04092880a3345be1cd8a527fc964b464
760,125,56da6e7787260d4b0a9dd1cc8c7451db
10400,126,5e596e03ef3b58c0d2f26de3931d3ebf
1300,127,ba8515d9b3b7bdd1ca26f547fcc358c1
960,128,e3cba782f3e3e229d9dec2eb39a4718a
8500,129,b8d2b5aacc68cf7410cabfb44cc58c7b
485,130,7036be41aae9a57be418aa97a8336834
620,131,2f4f3030111cdf0c9c04281d667eae95
290,132,80bfe0a4ef544d7905f13de58662d424
90,133,64eb041b0ce00c5e2dd91f272b24904f
1500,134,9f8f97c569d050bcbb77aff392d48e9d
570,135,441a2cddb4dc93a1b5cfc21270ed4a76
630,136,b564e2b7357dd129aaeecb12ea2dfb3d
810,137,4356379e1c538d2e8ae4114a5f2650d0
2800,138,60075ddcc60b26fedb02494d8cd0f611
1850,139,7d26261b5bebfba42809bd04d572e385
115,140,751a8f46367a341d8e603e8159706db7
2800,141,fc31f353cd8709f3a4a224b7f0d90ac8
150,142,caa2fd3352238240c8e57719d4f47c32
1500,143,6d6e16e26f801d3586a76b314bc064e3
1250,144,b1d88aca29dd0ec0236dea321427eae5
540,145,b5b1a65c6028135d26a6bcfaa11b9dd9
1250,146,1474c06ede22346b7feb2efb35d514c9
10100,147,b1344b83407f353ea385245ee5bd5f0f
3450,148,1781a37b633d0319a5fdf6db2eefa10c
11800,149,c395a99269702c9995acb5a71b8d2e6d
3100,150,98bf8ab02e9b375bb6c6567216d38fc6
710,151,53fb85cc84d5d068d83b08a3d873e4f2
90,152,ada459388f013e5e0a5cbfb7759a3ea5
4300,153,9d5ea121909e3c6a652637d1f3f8f6d2
2350,154,cb15df08ea8d91ff1b265c0edc6214bc
4250,155,daec4a9fdcae9ca5c4f3a71fc94af0cb
4050,156,0516bc29170dbecfe74ab665e7e54e9e
2000,157,524a5eedd42bb29766d8292ce483c7e6
1000,158,480e3f1f369a4c8c1f27f8013c7d1b2d
1150,159,74cdb7a4c57446b3f5fae45f6c75ae14
15300,160,9c607ac979cd75e79bab3f78e7ff563a
1350,161,8704c9dbf94b7de429e9fcfeafe1f765
830,162,3928cf87ba3c8df5e767b85102e735ab
310,163,b2bb525a456c91095b39a61b73e4f7bd
700,164,2738da30d35706da8b707b091394e069
260,165,1d911fe8d507d579ae19892a21d409e3
10400,166,27d9315bbdc12e5ee15a9bc9d4cb73b2
4800,167,9ded3db679aa96e6fab4bb042c1f8922
